price,car name,variant,mileage,first registration,horse power
"€ 3,800.-",Renault Megane,II Cabrio Limited LEDER PDC KLIMA,159425,03/2009,131
"€ 3,850.-",Mercedes-Benz A 140,,146000,10/2002,82
"€ 3,880.-",BMW 520,520d Touring Aut. Panaromadach / Leder,350000,12/2006,177
"€ 3,890.-",Opel Meriva,Cosmo Klimaautomatik/Elektr.FH/CD-Player,74200,11/2003,101
"€ 3,890.-",Suzuki Swift,"1.3i GLX AUTOMATIQUE CLIM, VE #PRET A IMMATRICULER",125399,06/2005,92
"€ 3,890.-",Skoda Fabia,"1.2i Classic CLIM, VE, RADIO CD, MP3 AVEC D. IMM.",114957,01/2010,60
"€ 3,899.-",Lancia Kappa,838 2.4 AHK+Kam+Navi+Freispr+StHzg+Klima,149000,05/1996,175
"€ 3,899.-",Nissan Pixo,,124138,11/2010,68
"€ 3,900.-",Dodge Journey,SXT|NAV|KAMERA|AHK|TV|AUTOMATIK,182000,04/2010,140
"€ 3,900.-",Citroen C3,Airplay,119320,10/2007,73
"€ 3,900.-",Hyundai i10,1.1 Classic Edition Plus ALLWETTERREIFEN*CD*,48525,12/2009,67
"€ 3,900.-",Mercedes-Benz CLK 230,Cabrio Kompressor Avantgarde guter Zustand,180000,12/2001,197
"€ 3,900.-",Jaguar S-Type,2.5 V6 Executive AUTOMATIK*LEDER,176000,12/2002,200
"€ 3,950.-",Peugeot 308,1.6 eHDi Active Klima PDC Sitzheizung Tempomat,215000,08/2011,111
"€ 3,950.-",Mercedes-Benz C 180,T Elegance LEDER XENON PDC SCHIEBEDACH,199361,03/2006,143
"€ 3,950.-",smart forTwo,fortwo 1.0 coupe Pulse*BT*SHZ*Panorama*,115000,09/2007,84
"€ 3,960.-",SEAT Mii,Reference 1.0 RDC ESP Seitenairb. met. TRC Airb AB,93000,02/2016,60
"€ 3,970.-",Volkswagen up!,take 1.0 ESP Servo,124998,01/2013,60
"€ 3,985.-",Toyota Auris,Sol,103350,03/2007,124
"€ 3,985.-",Hyundai Grandeur,3.3 V6,130190,11/2007,235
"€ 3,990.-",Mercedes-Benz E 280,E 280 T CDI. Navi. Sitzh. Xenon. Temp. PDC.,332500,06/2006,190
"€ 3,990.-",smart forTwo,fortwo coupe Micro Hybrid Drive 2.Hd/S-Heft/Klim,64565,05/2010,61
"€ 3,990.-",Peugeot 207,SW Sport Kombi Klima Wenig KM Panorama,87000,09/2007,120
"€ 3,990.-",Audi A2,1.4 Klimaaut. Radio/CD elek. Fensterh.,176200,01/2003,75
"€ 3,990.-",Volkswagen Polo,IV Comfortline 1.4 Automatik Erst 47.000 KM!!!,47000,02/2003,75
"€ 3,990.-",Opel Tigra,Twin Top Sport. PDC. Klima. Teilleder.,161620,05/2003,90
"€ 3,990.-",Toyota Aygo,AYGO - Allwetter,73001,07/2009,68
"€ 3,990.-",Citroen C2,1.6 16V VTS 122 PS+KLIMAAUTOMATIK+CD-RADIO+WINTERR,54500,01/2006,122
"€ 3,990.-",Fiat,Ducato 30 MJ100 L1H1,177796,01/2011,101
"€ 3,990.-",Renault Twingo,Night & Day,88841,06/2009,76
"€ 3,990.-",BMW 316,i Compact Wenig Km Klima Top-Zustand,135000,11/1994,102
"€ 3,990.-",Mercedes-Benz A 180,CDI Classic Facelift Klima Navi MFL,189000,05/2010,109
"€ 3,990.-",Alfa Romeo 155,1.8 Twin Spark Formula*SERVO*EGSD*2.HAND*,85000,02/1995,126
"€ 3,990.-",Lancia Ypsilon,1.2 8V Panorama-Schiebedach. 1. Hand TOP,105100,06/2007,60
"€ 3,990.-",Volkswagen Golf,"IV 1,6 Lim. Aut. Comfortline Schiebedach",122100,05/1999,101
"€ 3,990.-",Peugeot 207,Urban Move - Klima / Leichtmetallfelgen,122414,11/2008,95
